province,regency_city,province_aliases,regency_city_aliases,lat,long
Kepulauan Riau,Kabupaten Kepulauan Anambas,"Riau Islands, Riau Islands, Riau Islands, Riau Islands, Riau Islands","Kepulauan Anambas Regency, Kepulauan Anambas Regency, Kepulauan Anambas Regency, Kepulauan Anambas Regency, Kepulauan Anambas Regency, Anambas Islands Regency",3.1055,105.6537
Kepulauan Riau,Kabupaten Lingga,"Riau Islands, Riau Islands, Riau Islands, Riau Islands, Riau Islands","Lingga Regency, Lingga Regency, Lingga Regency, Lingga Regency",-0.4726,104.4258
Kepulauan Riau,Kabupaten Natuna,"Riau Islands, Kepulauan Riau, Riau Islands, Riau Islands, Riau Islands","Natuna Regency, Kabupaten Natuna, Natuna Regency, Natuna Regency, Natuna Regency",4,108.25
Kepulauan Riau,Kota Batam,"Riau Islands, Kepulauan Riau, Riau Islands, Riau Islands, Riau Islands","Batam City, Kota Batam, Batam City, Batam City, Batam City",1.1301,104.0529
Kepulauan Riau,Kota Tanjung Pinang,"Kepulauan Riau, Riau Islands, Riau Islands, Riau Islands, Riau Islands","Kota Tanjung Pinang, Tanjung Pinang City, Tanjung Pinang City, Tanjung Pinang City, Tanjung Pinang City",0.9186,104.4665
Jambi,Kabupaten Batanghari,"Jambi, Jambi, Jambi, Jambi, Jambi","Batang Hari Regency, Batang Hari Regency, Batang Hari Regency, Batang Hari Regency, Batang Hari Regency, Batanghari Regency, Kabupaten Batang Hari, Kabupaten Batanghari",-1.7084,103.0818
Jambi,Kabupaten Bungo,"Jambi, Jambi, Jambi, Jambi, Jambi","Kabupaten Bungo, Bungo Regency, Bungo Regency, Bungo Regency, Bungo Regency",-1.6401,101.8892
Jambi,Kabupaten Kerinci,"Jambi, Jambi, Jambi, Jambi, Jambi","Kabupaten Kerinci, Kerinci Regency, Kerinci Regency, Kerinci Regency, Kerinci Regency",-1.872,101.4339
Jambi,Kabupaten Merangin,"Jambi, Jambi, Jambi, Jambi, Jambi","Merangin Regency, Merangin Regency, Merangin Regency, Merangin Regency, Merangin Regency",-2.1753,101.9805
Jambi,Kabupaten Muaro Jambi,"Jambi, Jambi, Jambi, Jambi, Jambi","Muaro Jambi Regency, Muaro Jambi Regency, Muaro Jambi Regency, Muaro Jambi Regency, Muaro Jambi Regency",-1.5521,103.8216
Jambi,Kabupaten Sarolangun,"Jambi, Jambi, Jambi, Jambi, Jambi","Sarolangun Regency, Sarolangun Regency, Sarolangun Regency, Sarolangun Regency, Sarolangun Regency",-2.323,102.7135
Jambi,Kabupaten Tanjung Jabung Barat,"Jambi, Jambi, Jambi, Jambi, Jambi","West Tanjung Jabung Regency, West Tanjung Jabung Regency, West Tanjung Jabung Regency, West Tanjung Jabung Regency, West Tanjung Jabung Regency",-1.1058,103.0818
Jambi,Kabupaten Tanjung Jabung Timur,"Jambi, Jambi, Jambi, Jambi, Jambi","East Tanjung Jabung Regency, East Tanjung Jabung Regency, East Tanjung Jabung Regency, East Tanjung Jabung Regency, East Tanjung Jabung Regency",-1.1024,103.8216
Jambi,Kabupaten Tebo,"Jambi, Jambi, Jambi, Jambi, Jambi","Tebo Regency, Kabupaten Tebo, Tebo Regency, Tebo Regency, Tebo Regency",-1.2593,102.3464
Jambi,Kota Jambi,"Jambi, Jambi, Jambi, Jambi, Jambi","Jambi City, Jambi City, Jambi City, Jambi City, Jambi City",-1.6101,103.6131
Jambi,Kota Sungai Penuh,"Jambi, Jambi, Jambi, Jambi, Jambi","Sungai Penuh City, Kota Sungai Penuh, Kota Sungai Penuh, Kota Sungai Penuh, Sungai Penuh City",-2.0634,101.3947
Bengkulu,Kabupaten Bengkulu Selatan,"Bengkulu, Bengkulu, Bengkulu, Bengkulu, Bengkulu","South Bengkulu Regency, South Bengkulu Regency, South Bengkulu Regency",-4.3248,103.0357
Bengkulu,Kabupaten Bengkulu Tengah,"Bengkulu, Bengkulu, Bengkulu, Bengkulu, Bengkulu","Central Bengkulu Regency, Kabupaten Bengkulu Tengah, Central Bengkulu Regency, Central Bengkulu Regency, Central Bengkulu Regency",-3.6962,102.3922
Bengkulu,Kabupaten Bengkulu Utara,"Bengkulu, Bengkulu, Bengkulu, Bengkulu, Bengkulu","North Bengkulu Regency, Kabupaten Bengkulu Utara, North Bengkulu Regency, North Bengkulu Regency, North Bengkulu Regency",-3.2663,101.9805
Bengkulu,Kabupaten Kaur,"Bengkulu, Bengkulu, Bengkulu, Bengkulu, Bengkulu","Kaur Regency, Kabupaten Kaur, Kaur Regency, Kaur Regency, Kaur Regency",-4.5216,103.2663
Bengkulu,Kabupaten Kepahiang,"Bengkulu, Bengkulu, Bengkulu, Bengkulu, Bengkulu","Kepahiang Regency, Kepahiang Regency, Kepahiang Regency, Kepahiang Regency, Kepahiang Regency",-3.613,102.6676
Bengkulu,Kabupaten Lebong,"Bengkulu, Bengkulu, Bengkulu, Bengkulu, Bengkulu","Kabupaten Lebong, Lebong Regency, Lebong Regency, Lebong Regency, Lebong Regency",-3.1455,102.209
Bengkulu,Kabupaten Mukomuko,"Bengkulu, Bengkulu, Bengkulu, Bengkulu, Bengkulu","Mukomuko Regency, Kabupaten Mukomuko, Mukomuko Regency, Mukomuko Regency, Mukomuko Regency",-2.6449,101.4339
Bengkulu,Kabupaten Rejang Lebong,"Bengkulu, Bengkulu, Bengkulu, Bengkulu, Bengkulu","Rejang Lebong Regency, Rejang Lebong Regency, Kabupaten Rejang Lebong, Kabupaten Rejang Lebong, Rejang Lebong Regency",-3.4548,102.6676
Bengkulu,Kabupaten Seluma,"Bengkulu, Bengkulu, Bengkulu, Bengkulu, Bengkulu","Seluma Regency, Kabupaten Seluma, Seluma Regency, Seluma Regency, Seluma Regency",-4.0499,102.7135
Bengkulu,Kota Bengkulu,"Bengkulu, Bengkulu, Bengkulu, Bengkulu, Bengkulu","Bengkulu City, Bengkulu City, Bengkulu City, Bengkulu City, Bengkulu City",-3.7928,102.2608
Sumatera Selatan,Kabupaten Banyuasin,"Sumatera Selatan, South Sumatra, South Sumatra, South Sumatra, South Sumatra","Kabupaten Banyuasin, Banyuasin Regency, Banyuasin Regency, Banyuasin Regency, Banyuasin Regency",-2.6096,104.7521
Sumatera Selatan,Kabupaten Empat Lawang,"South Sumatra, South Sumatra, Sumatera Selatan, South Sumatra, South Sumatra","Empat Lawang Regency, Empat Lawang Regency, Kabupaten Empat Lawang, Empat Lawang Regency, Empat Lawang Regency",-3.7286,102.8975
Sumatera Selatan,Kabupaten Lahat,"South Sumatra, Sumatera Selatan, South Sumatra, South Sumatra, South Sumatra","Lahat Regency, Kabupaten Lahat, Lahat Regency, Lahat Regency, Lahat Regency",-3.8009,103.3587
Sumatera Selatan,Kabupaten Muara Enim,"South Sumatra, South Sumatra, South Sumatra, South Sumatra, South Sumatra","Muara Enim Regency, Muara Enim Regency, Muara Enim Regency, Muara Enim Regency, Muara Enim Regency",-3.7114,104.0072
Sumatera Selatan,Kabupaten Musi Banyuasin,"South Sumatra, South Sumatra, South Sumatra, South Sumatra, South Sumatra","Musi Banyuasin Regency, Musi Banyuasin Regency, Musi Banyuasin Regency, Musi Banyuasin Regency, Musi Banyuasin Regency",-2.5442,103.7289
Sumatera Selatan,Kabupaten Musi Rawas,"South Sumatra, South Sumatra, Sumatera Selatan, South Sumatra, South Sumatra","Musi Rawas Regency, Musi Rawas Regency, Kabupaten Musi Rawas, Musi Rawas Regency, Musi Rawas Regency",-3.0957,103.0818
Sumatera Selatan,Kabupaten Musi Rawas Utara,"South Sumatra, South Sumatra, South Sumatra, South Sumatra, South Sumatra","North Musi Rawas Regency, Musi Rawas Regency, Musi Rawas Regency, Musi Rawas Regency, North Musi Rawas Regency",-2.7878,102.7135
